model,setting,step,mean_step_score,ci_low,ci_high,alive_count,alive_fraction,total_trajectories
Qwen3-vl-4B,Oracle,3,0.08965577778436343,0.07883754546856044,0.10064869334210032,705,0.47,1500
Qwen3-vl-4B,Oracle,4,0.03214568877109257,0.025595875453472736,0.03942761912109812,524,0.34933333333333333,1500
Qwen3-vl-4B,Oracle,5,0.009686388798196112,0.006117676007574421,0.013744500958299185,418,0.2786666666666667,1500
Qwen3-vl-4B,Disturb,1,0.23944476272711138,0.22253009522180353,0.25681913697346165,1448,0.9653333333333334,1500
Qwen3-vl-4B,Disturb,2,0.30645218874172137,0.288324190044682,0.3246170004304752,1201,0.8006666666666666,1500
Qwen3-vl-4B,Disturb,3,0.1276091547156476,0.11544021759976184,0.14049373366022505,885,0.59,1500
Qwen3-vl-4B,Disturb,4,0.05086846401419901,0.0421068338433559,0.059889858336945524,693,0.462,1500
Qwen3-vl-4B,Disturb,5,0.01841054296479854,0.013465637870143382,0.02398484605344573,561,0.374,1500
Qwen3-vl-8B,Original,1,0.37878519540640665,0.360309796915112,0.398073223412051,1422,0.948,1500
Qwen3-vl-8B,Original,2,0.21017059615124847,0.1939400474766337,0.22614484220444564,1105,0.7366666666666667,1500
Qwen3-vl-8B,Original,3,0.10127353681021675,0.08982461176447572,0.11384717380664758,823,0.5486666666666666,1500
Qwen3-vl-8B,Original,4,0.050254074566177094,0.041961244891695025,0.05948939866555195,653,0.43533333333333335,1500
Qwen3-vl-8B,Original,5,0.02388385059778172,0.018209856163460252,0.030199281326487457,562,0.37466666666666665,1500
Qwen3-vl-8B,Oracle,1,0.3933517439959262,0.3743883562126175,0.41289059543144857,1419,0.946,1500
Qwen3-vl-8B,Oracle,2,0.21854090890634212,0.20198723842094501,0.23515610074419033,1070,0.7133333333333334,1500
Qwen3-vl-8B,Oracle,3,0.08591159322200133,0.07513366955836569,0.09745500008591088,754,0.5026666666666667,1500
Qwen3-vl-8B,Oracle,4,0.044779431615341925,0.03707437183003711,0.053301799130564466,604,0.4026666666666667,1500
Qwen3-vl-8B,Oracle,5,0.024639962535597377,0.018681647824477718,0.031050928120951216,524,0.34933333333333333,1500
Qwen3-vl-8B,Disturb,1,0.20864225082676008,0.19131675244712396,0.22570602091588685,1415,0.9433333333333334,1500
Qwen3-vl-8B,Disturb,2,0.2812545262584992,0.26370371174851104,0.2987797935123394,1236,0.824,1500
Qwen3-vl-8B,Disturb,3,0.14280070872502926,0.12824455290358636,0.157095964283461,950,0.6333333333333333,1500
Qwen3-vl-8B,Disturb,4,0.0654334825848583,0.055916043516895275,0.07544912807383365,755,0.5033333333333333,1500
Qwen3-vl-8B,Disturb,5,0.027133421314673386,0.021128273696762997,0.03387513438388791,657,0.438,1500
Qwen3-vl-32B,Original,1,0.38227327558680546,0.36326909162904664,0.4003777841665929,1477,0.9846666666666667,1500
Qwen3-vl-32B,Original,2,0.20551892712749972,0.18918202592024655,0.22174348063767535,1213,0.8086666666666666,1500
Qwen3-vl-32B,Original,3,0.10321998975214368,0.09109065431070612,0.11595779952657183,833,0.5553333333333333,1500
Qwen3-vl-32B,Original,4,0.04803510393126271,0.03995203467468991,0.05671732047061408,614,0.4093333333333333,1500
Qwen3-vl-32B,Original,5,0.02860965965724171,0.022050133768826707,0.035812967207075545,492,0.328,1500
Qwen3-vl-32B,Oracle,1,0.3836682355567829,0.3648784499360808,0.40206306413645887,1477,0.9846666666666667,1500
Qwen3-vl-32B,Oracle,2,0.2026443475485164,0.1861364618978003,0.21881249134707256,1206,0.804,1500
Qwen3-vl-32B,Oracle,3,0.09893831701442406,0.08724103790967798,0.11160657354115128,827,0.5513333333333333,1500
Qwen3-vl-32B,Oracle,4,0.04851941145986195,0.04040030827644801,0.05745580555983472,611,0.4073333333333333,1500
Qwen3-vl-32B,Oracle,5,0.02777814974142398,0.021323558714919866,0.034749337040159055,487,0.32466666666666666,1500
Qwen3-vl-32B,Disturb,1,0.2526366363129069,0.23558394044180964,0.26992378294380165,1477,0.9846666666666667,1500
Qwen3-vl-32B,Disturb,2,0.23152917195138176,0.21445560135033737,0.24899538784877961,1286,0.8573333333333333,1500
Qwen3-vl-32B,Disturb,3,0.14591111731214207,0.13155251275535312,0.16075232632943118,977,0.6513333333333333,1500
Qwen3-vl-32B,Disturb,4,0.07300164119708201,0.06241668027117196,0.08338191123459339,704,0.4693333333333333,1500
Qwen3-vl-32B,Disturb,5,0.03970665448082154,0.032243675317414656,0.048111615129132534,549,0.366,1500
InternVL3.5-8B,Original,1,0.15413628312958016,0.14492851606468377,0.1632199834199948,768,0.512,1500
InternVL3.5-8B,Original,2,0.04758267847614973,0.04179566429472008,0.05325799359504426,359,0.23933333333333334,1500
InternVL3.5-8B,Original,3,0.027441720274358778,0.022973980801488263,0.03187158095869163,206,0.13733333333333334,1500
InternVL3.5-8B,Original,4,0.011489130780295275,0.00884983657630312,0.014304614036246313,136,0.09066666666666667,1500
InternVL3.5-8B,Original,5,0.004101455020803933,0.0025195502612163447,0.005633134912547804,93,0.062,1500
InternVL3.5-8B,Oracle,1,0.18378113746987132,0.1737634952091585,0.1936489882146879,853,0.5686666666666667,1500
InternVL3.5-8B,Oracle,2,0.060093675456271416,0.05370661710247236,0.06648408083119221,347,0.23133333333333334,1500
InternVL3.5-8B,Oracle,3,0.029649040727451635,0.025058493317948155,0.03404671683752577,191,0.12733333333333333,1500
InternVL3.5-8B,Oracle,4,0.011046357115616395,0.008276576682637928,0.0138720634766468,129,0.086,1500
InternVL3.5-8B,Oracle,5,0.004804670323576035,0.0029499999971371914,0.006776059209670739,93,0.062,1500
InternVL3.5-8B,Disturb,1,0.10506751786129655,0.09701867592722559,0.1128082549478782,1108,0.7386666666666667,1500
InternVL3.5-8B,Disturb,2,0.06009468978808103,0.05384553956655414,0.06634938744240008,579,0.386,1500
InternVL3.5-8B,Disturb,3,0.028931002826072052,0.024623634823891898,0.03346716966696045,255,0.17,1500
InternVL3.5-8B,Disturb,4,0.014801956343124659,0.01147538145160821,0.018133776640159072,166,0.11066666666666666,1500
InternVL3.5-8B,Disturb,5,0.004711184052655341,0.0031465454428474355,0.006355367554545705,113,0.07533333333333334,1500
